id_annee;id_region;id_age;id_sexe;population
2004;Grand Casablanca;moins de 5 ans;M;157647
2004;Grand Casablanca;moins de 5 ans;F;151922
2004;Grand Casablanca;5 à 9 ans;M;153494
2004;Grand Casablanca;5 à 9 ans;F;149696
2004;Grand Casablanca;10 à 14 ans;M;161394
2004;Grand Casablanca;10 à 14 ans;F;160303
2004;Grand Casablanca;15 à 19 ans;M;165517
2004;Grand Casablanca;15 à 19 ans;F;166926
2004;Grand Casablanca;20 à 24 ans;M;178071
2004;Grand Casablanca;20 à 24 ans;F;182250
2004;Grand Casablanca;25 à 34 ans;M;313604
2004;Grand Casablanca;25 à 34 ans;F;330402
2004;Grand Casablanca;35 à 44 ans;M;263351
2004;Grand Casablanca;35 à 44 ans;F;284957
2004;Grand Casablanca;45 à 54 ans;M;205390
2004;Grand Casablanca;45 à 54 ans;F;198620
2004;Grand Casablanca;55 à 64 ans;M;95467
2004;Grand Casablanca;55 à 64 ans;F;103464
2004;Grand Casablanca;65 à 74 ans;M;55447
2004;Grand Casablanca;65 à 74 ans;F;68018
2004;Grand Casablanca;75 à 84 ans;M;24482
2004;Grand Casablanca;75 à 84 ans;F;27307
2004;Grand Casablanca;85 ans et plus;M;8391
2004;Grand Casablanca;85 ans et plus;F;9783
