id_annee;id_region;id_age;id_sexe;population
2004;Marrakech Tensift Al Haouz;moins de 5 ans;M;163815
2004;Marrakech Tensift Al Haouz;moins de 5 ans;F;158615
2004;Marrakech Tensift Al Haouz;5 à 9 ans;M;175299
2004;Marrakech Tensift Al Haouz;5 à 9 ans;F;168880
2004;Marrakech Tensift Al Haouz;10 à 14 ans;M;180603
2004;Marrakech Tensift Al Haouz;10 à 14 ans;F;174385
2004;Marrakech Tensift Al Haouz;15 à 19 ans;M;153028
2004;Marrakech Tensift Al Haouz;15 à 19 ans;F;160602
2004;Marrakech Tensift Al Haouz;20 à 24 ans;M;138001
2004;Marrakech Tensift Al Haouz;20 à 24 ans;F;150947
2004;Marrakech Tensift Al Haouz;25 à 34 ans;M;230555
2004;Marrakech Tensift Al Haouz;25 à 34 ans;F;244723
2004;Marrakech Tensift Al Haouz;35 à 44 ans;M;179919
2004;Marrakech Tensift Al Haouz;35 à 44 ans;F;189813
2004;Marrakech Tensift Al Haouz;45 à 54 ans;M;145772
2004;Marrakech Tensift Al Haouz;45 à 54 ans;F;135927
2004;Marrakech Tensift Al Haouz;55 à 64 ans;M;77191
2004;Marrakech Tensift Al Haouz;55 à 64 ans;F;82529
2004;Marrakech Tensift Al Haouz;65 à 74 ans;M;52473
2004;Marrakech Tensift Al Haouz;65 à 74 ans;F;55643
2004;Marrakech Tensift Al Haouz;75 à 84 ans;M;25977
2004;Marrakech Tensift Al Haouz;75 à 84 ans;F;23627
2004;Marrakech Tensift Al Haouz;85 ans et plus;M;10493
2004;Marrakech Tensift Al Haouz;85 ans et plus;F;9521
