id_annee;id_region;id_age;id_sexe;population
2004;Meknes Tafilalet;moins de 5 ans;M;101183
2004;Meknes Tafilalet;moins de 5 ans;F;98178
2004;Meknes Tafilalet;5 à 9 ans;M;107542
2004;Meknes Tafilalet;5 à 9 ans;F;103682
2004;Meknes Tafilalet;10 à 14 ans;M;119479
2004;Meknes Tafilalet;10 à 14 ans;F;115126
2004;Meknes Tafilalet;15 à 19 ans;M;113289
2004;Meknes Tafilalet;15 à 19 ans;F;112830
2004;Meknes Tafilalet;20 à 24 ans;M;101457
2004;Meknes Tafilalet;20 à 24 ans;F;110251
2004;Meknes Tafilalet;25 à 34 ans;M;160276
2004;Meknes Tafilalet;25 à 34 ans;F;178178
2004;Meknes Tafilalet;35 à 44 ans;M;128221
2004;Meknes Tafilalet;35 à 44 ans;F;143849
2004;Meknes Tafilalet;45 à 54 ans;M;96588
2004;Meknes Tafilalet;45 à 54 ans;F;97449
2004;Meknes Tafilalet;55 à 64 ans;M;53482
2004;Meknes Tafilalet;55 à 64 ans;F;60753
2004;Meknes Tafilalet;65 à 74 ans;M;39624
2004;Meknes Tafilalet;65 à 74 ans;F;39972
2004;Meknes Tafilalet;75 à 84 ans;M;16114
2004;Meknes Tafilalet;75 à 84 ans;F;15229
2004;Meknes Tafilalet;85 ans et plus;M;6504
2004;Meknes Tafilalet;85 ans et plus;F;6352
