id_annee;id_region;id_age;id_sexe;population
2004;Tadla Azilal;moins de 5 ans;M;75995
2004;Tadla Azilal;moins de 5 ans;F;72624
2004;Tadla Azilal;5 à 9 ans;M;81478
2004;Tadla Azilal;5 à 9 ans;F;78744
2004;Tadla Azilal;10 à 14 ans;M;86184
2004;Tadla Azilal;10 à 14 ans;F;82853
2004;Tadla Azilal;15 à 19 ans;M;77118
2004;Tadla Azilal;15 à 19 ans;F;78957
2004;Tadla Azilal;20 à 24 ans;M;64266
2004;Tadla Azilal;20 à 24 ans;F;74782
2004;Tadla Azilal;25 à 34 ans;M;95965
2004;Tadla Azilal;25 à 34 ans;F;120009
2004;Tadla Azilal;35 à 44 ans;M;77459
2004;Tadla Azilal;35 à 44 ans;F;93044
2004;Tadla Azilal;45 à 54 ans;M;65744
2004;Tadla Azilal;45 à 54 ans;F;63698
2004;Tadla Azilal;55 à 64 ans;M;36073
2004;Tadla Azilal;55 à 64 ans;F;38505
2004;Tadla Azilal;65 à 74 ans;M;25247
2004;Tadla Azilal;65 à 74 ans;F;26724
2004;Tadla Azilal;75 à 84 ans;M;11461
2004;Tadla Azilal;75 à 84 ans;F;11528
2004;Tadla Azilal;85 ans et plus;M;4809
2004;Tadla Azilal;85 ans et plus;F;4888
