id_annee;id_region;id_age;id_sexe;population
2004;22               ;moins de 5 ans;M;86201
2004;22               ;moins de 5 ans;F;83264
2004;22               ;5 à 9 ans     ;M;97731
2004;22               ;5 à 9 ans     ;F;94701
2004;22               ;10 à 14 ans   ;M;102255
2004;22               ;10 à 14 ans   ;F;98728
2004;22               ;15 à 19 ans   ;M;100632
2004;22               ;15 à 19 ans   ;F;97803
2004;22               ;20 à 24 ans   ;M;96384
2004;22               ;20 à 24 ans   ;F;94957
2004;22               ;25 à 34 ans   ;M;137212
2004;22               ;25 à 34 ans   ;F;159853
2004;22               ;35 à 44 ans   ;M;117454
2004;22               ;35 à 44 ans   ;F;139996
2004;22               ;45 à 54 ans   ;M;90845
2004;22               ;45 à 54 ans   ;F;91953
2004;22               ;55 à 64 ans   ;M;40019
2004;22               ;55 à 64 ans   ;F;51535
2004;22               ;65 à 74 ans   ;M;37801
2004;22               ;65 à 74 ans   ;F;43949
2004;22               ;75 à 84 ans   ;M;15618
2004;22               ;75 à 84 ans   ;F;16815
2004;22               ;85 ans et plus;M;5990
2004;22               ;85 ans et plus;F;7209
2004;27               ;moins de 5 ans;M;85532
2004;27               ;moins de 5 ans;F;81914
2004;27               ;5 à 9 ans     ;M;89884
2004;27               ;5 à 9 ans     ;F;85812
2004;27               ;10 à 14 ans   ;M;94010
2004;27               ;10 à 14 ans   ;F;88871
2004;27               ;15 à 19 ans   ;M;87583
2004;27               ;15 à 19 ans   ;F;85350
2004;27               ;20 à 24 ans   ;M;79101
2004;27               ;20 à 24 ans   ;F;81723
2004;27               ;25 à 34 ans   ;M;125180
2004;27               ;25 à 34 ans   ;F;130786
2004;27               ;35 à 44 ans   ;M;95680
2004;27               ;35 à 44 ans   ;F;103081
2004;27               ;45 à 54 ans   ;M;76700
2004;27               ;45 à 54 ans   ;F;72443
2004;27               ;55 à 64 ans   ;M;38928
2004;27               ;55 à 64 ans   ;F;43227
2004;27               ;65 à 74 ans   ;M;26382
2004;27               ;65 à 74 ans   ;F;32054
2004;27               ;75 à 84 ans   ;M;12283
2004;27               ;75 à 84 ans   ;F;14992
2004;27               ;85 ans et plus;M;7412
2004;27               ;85 ans et plus;F;7123
2004;25               ;moins de 5 ans;M;107863
2004;25               ;moins de 5 ans;F;104703
2004;25               ;5 à 9 ans     ;M;110077
2004;25               ;5 à 9 ans     ;F;106273
2004;25               ;10 à 14 ans   ;M;119004
2004;25               ;10 à 14 ans   ;F;115941
2004;25               ;15 à 19 ans   ;M;115475
2004;25               ;15 à 19 ans   ;F;117318
2004;25               ;20 à 24 ans   ;M;110123
2004;25               ;20 à 24 ans   ;F;119754
2004;25               ;25 à 34 ans   ;M;190323
2004;25               ;25 à 34 ans   ;F;208657
2004;25               ;35 à 44 ans   ;M;159020
2004;25               ;35 à 44 ans   ;F;173965
2004;25               ;45 à 54 ans   ;M;124448
2004;25               ;45 à 54 ans   ;F;116863
2004;25               ;55 à 64 ans   ;M;62751
2004;25               ;55 à 64 ans   ;F;64835
2004;25               ;65 à 74 ans   ;M;37380
2004;25               ;65 à 74 ans   ;F;39930
2004;25               ;75 à 84 ans   ;M;14066
2004;25               ;75 à 84 ans   ;F;16378
2004;25               ;85 ans et plus;M;6596
2004;25               ;85 ans et plus;F;7459
2004;32               ;moins de 5 ans;M;162452
2004;32               ;moins de 5 ans;F;156580
2004;32               ;5 à 9 ans     ;M;171148
2004;32               ;5 à 9 ans     ;F;165626
2004;32               ;10 à 14 ans   ;M;181755
2004;32               ;10 à 14 ans   ;F;179764
2004;32               ;15 à 19 ans   ;M;158352
2004;32               ;15 à 19 ans   ;F;172912
2004;32               ;20 à 24 ans   ;M;136986
2004;32               ;20 à 24 ans   ;F;164505
2004;32               ;25 à 34 ans   ;M;221448
2004;32               ;25 à 34 ans   ;F;260169
2004;32               ;35 à 44 ans   ;M;173424
2004;32               ;35 à 44 ans   ;F;193153
2004;32               ;45 à 54 ans   ;M;129097
2004;32               ;45 à 54 ans   ;F;129071
2004;32               ;55 à 64 ans   ;M;74258
2004;32               ;55 à 64 ans   ;F;83930
2004;32               ;65 à 74 ans   ;M;51030
2004;32               ;65 à 74 ans   ;F;54635
2004;32               ;75 à 84 ans   ;M;24524
2004;32               ;75 à 84 ans   ;F;24072
2004;32               ;85 ans et plus;M;14171
2004;32               ;85 ans et plus;F;11923
2004;21               ;moins de 5 ans;M;96651
2004;21               ;moins de 5 ans;F;93085
2004;21               ;5 à 9 ans     ;M;103217
2004;21               ;5 à 9 ans     ;F;99170
2004;21               ;10 à 14 ans   ;M;113845
2004;21               ;10 à 14 ans   ;F;108933
2004;21               ;15 à 19 ans   ;M;108410
2004;21               ;15 à 19 ans   ;F;108937
2004;21               ;20 à 24 ans   ;M;89028
2004;21               ;20 à 24 ans   ;F;96502
2004;21               ;25 à 34 ans   ;M;123338
2004;21               ;25 à 34 ans   ;F;137633
2004;21               ;35 à 44 ans   ;M;90599
2004;21               ;35 à 44 ans   ;F;106574
2004;21               ;45 à 54 ans   ;M;66764
2004;21               ;45 à 54 ans   ;F;71005
2004;21               ;55 à 64 ans   ;M;38720
2004;21               ;55 à 64 ans   ;F;46240
2004;21               ;65 à 74 ans   ;M;32245
2004;21               ;65 à 74 ans   ;F;33658
2004;21               ;75 à 84 ans   ;M;13488
2004;21               ;75 à 84 ans   ;F;12882
2004;21               ;85 ans et plus;M;6468
2004;21               ;85 ans et plus;F;5659
2004;26               ;moins de 5 ans;M;98732
2004;26               ;moins de 5 ans;F;95192
2004;26               ;5 à 9 ans     ;M;97216
2004;26               ;5 à 9 ans     ;F;94978
2004;26               ;10 à 14 ans   ;M;109309
2004;26               ;10 à 14 ans   ;F;105179
2004;26               ;15 à 19 ans   ;M;107533
2004;26               ;15 à 19 ans   ;F;107120
2004;26               ;20 à 24 ans   ;M;96878
2004;26               ;20 à 24 ans   ;F;99814
2004;26               ;25 à 34 ans   ;M;138439
2004;26               ;25 à 34 ans   ;F;141375
2004;26               ;35 à 44 ans   ;M;108385
2004;26               ;35 à 44 ans   ;F;114098
2004;26               ;45 à 54 ans   ;M;80991
2004;26               ;45 à 54 ans   ;F;76026
2004;26               ;55 à 64 ans   ;M;42424
2004;26               ;55 à 64 ans   ;F;46221
2004;26               ;65 à 74 ans   ;M;28396
2004;26               ;65 à 74 ans   ;F;30674
2004;26               ;75 à 84 ans   ;M;10527
2004;26               ;75 à 84 ans   ;F;11407
2004;26               ;85 ans et plus;M;4351
2004;26               ;85 ans et plus;F;4511
2004;33               ;moins de 5 ans;M;21843
2004;33               ;moins de 5 ans;F;21339
2004;33               ;5 à 9 ans     ;M;24493
2004;33               ;5 à 9 ans     ;F;23320
2004;33               ;10 à 14 ans   ;M;26882
2004;33               ;10 à 14 ans   ;F;26677
2004;33               ;15 à 19 ans   ;M;23875
2004;33               ;15 à 19 ans   ;F;24929
2004;33               ;20 à 24 ans   ;M;17807
2004;33               ;20 à 24 ans   ;F;22856
2004;33               ;25 à 34 ans   ;M;28271
2004;33               ;25 à 34 ans   ;F;35836
2004;33               ;35 à 44 ans   ;M;23255
2004;33               ;35 à 44 ans   ;F;27573
2004;33               ;45 à 54 ans   ;M;16848
2004;33               ;45 à 54 ans   ;F;17289
2004;33               ;55 à 64 ans   ;M;7633
2004;33               ;55 à 64 ans   ;F;10389
2004;33               ;65 à 74 ans   ;M;6695
2004;33               ;65 à 74 ans   ;F;7032
2004;33               ;75 à 84 ans   ;M;3695
2004;33               ;75 à 84 ans   ;F;3358
2004;33               ;85 ans et plus;M;1834
2004;33               ;85 ans et plus;F;1482
2004;34               ;moins de 5 ans;M;13394
2004;34               ;moins de 5 ans;F;12663
2004;34               ;5 à 9 ans     ;M;13113
2004;34               ;5 à 9 ans     ;F;12728
2004;34               ;10 à 14 ans   ;M;13300
2004;34               ;10 à 14 ans   ;F;12632
2004;34               ;15 à 19 ans   ;M;12797
2004;34               ;15 à 19 ans   ;F;11999
2004;34               ;20 à 24 ans   ;M;13224
2004;34               ;20 à 24 ans   ;F;12043
2004;34               ;25 à 34 ans   ;M;23827
2004;34               ;25 à 34 ans   ;F;22792
2004;34               ;35 à 44 ans   ;M;18399
2004;34               ;35 à 44 ans   ;F;16392
2004;34               ;45 à 54 ans   ;M;12040
2004;34               ;45 à 54 ans   ;F;8587
2004;34               ;55 à 64 ans   ;M;3918
2004;34               ;55 à 64 ans   ;F;3616
2004;34               ;65 à 74 ans   ;M;2223
2004;34               ;65 à 74 ans   ;F;2021
2004;34               ;75 à 84 ans   ;M;929
2004;34               ;75 à 84 ans   ;F;851
2004;34               ;85 ans et plus;M;1324
2004;34               ;85 ans et plus;F;750
2004;35               ;moins de 5 ans;M;4548
2004;35               ;moins de 5 ans;F;4356
2004;35               ;5 à 9 ans     ;M;3996
2004;35               ;5 à 9 ans     ;F;3725
2004;35               ;10 à 14 ans   ;M;3116
2004;35               ;10 à 14 ans   ;F;3117
2004;35               ;15 à 19 ans   ;M;3343
2004;35               ;15 à 19 ans   ;F;2832
2004;35               ;20 à 24 ans   ;M;4653
2004;35               ;20 à 24 ans   ;F;3140
2004;35               ;25 à 34 ans   ;M;10457
2004;35               ;25 à 34 ans   ;F;6206
2004;35               ;35 à 44 ans   ;M;7029
2004;35               ;35 à 44 ans   ;F;3982
2004;35               ;45 à 54 ans   ;M;3144
2004;35               ;45 à 54 ans   ;F;1869
2004;35               ;55 à 64 ans   ;M;978
2004;35               ;55 à 64 ans   ;F;741
2004;35               ;65 à 74 ans   ;M;491
2004;35               ;65 à 74 ans   ;F;409
2004;35               ;75 à 84 ans   ;M;208
2004;35               ;75 à 84 ans   ;F;142
2004;35               ;85 ans et plus;M;379
