Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Béni Mellal-Khénifra,Rural,Masculin,Descendance finale des femmes,
Béni Mellal-Khénifra,Ensemble,Masculin,Descendance finale des femmes,
Béni Mellal-Khénifra,Urbain,Masculin,Indicateur conjoncturel de fécondité,
Béni Mellal-Khénifra,Urbain,Masculin,Descendance finale des femmes,
Béni Mellal-Khénifra,Rural,Masculin,Indicateur conjoncturel de fécondité,
Béni Mellal-Khénifra,Ensemble,Masculin,Indicateur conjoncturel de fécondité,
Béni Mellal-Khénifra,Rural,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),63.7
Béni Mellal-Khénifra,Rural,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),61.9
Béni Mellal-Khénifra,Urbain,Féminin,Part de la population de 15-59 ans (%),60.8
Béni Mellal-Khénifra,Rural,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),60.0
Béni Mellal-Khénifra,Ensemble,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),59.3
Béni Mellal-Khénifra,Ensemble,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),59.2
Béni Mellal-Khénifra,Ensemble,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),59.0
Béni Mellal-Khénifra,Ensemble,Féminin,Part de la population de 15-59 ans (%),59.0
Béni Mellal-Khénifra,Urbain,Ensemble,Part de la population de 15-59 ans (%),59.0
Béni Mellal-Khénifra,Urbain,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),58.0
Béni Mellal-Khénifra,Ensemble,Ensemble,Part de la population de 15-59 ans (%),57.7
Béni Mellal-Khénifra,Urbain,Masculin,Part de la population de 15-59 ans (%),57.1
Béni Mellal-Khénifra,Rural,Féminin,Part de la population de 15-59 ans (%),57.0
Béni Mellal-Khénifra,Urbain,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),56.7
Béni Mellal-Khénifra,Rural,Ensemble,Part de la population de 15-59 ans (%),56.3
Béni Mellal-Khénifra,Ensemble,Masculin,Part de la population de 15-59 ans (%),56.3
Béni Mellal-Khénifra,Rural,Masculin,Part de la population de 15-59 ans (%),55.5
Béni Mellal-Khénifra,Urbain,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),55.5
Béni Mellal-Khénifra,Urbain,Masculin,Part des célibataires parmi les 15 ans et plus (%),38.5
Béni Mellal-Khénifra,Ensemble,Masculin,Part des célibataires parmi les 15 ans et plus (%),37.9
Béni Mellal-Khénifra,Rural,Masculin,Part des célibataires parmi les 15 ans et plus (%),37.3
Béni Mellal-Khénifra,Urbain,Masculin,Âge moyen singulier au mariage,33.2
Béni Mellal-Khénifra,Ensemble,Masculin,Âge moyen singulier au mariage,32.6
Béni Mellal-Khénifra,Urbain,Ensemble,Part des célibataires parmi les 15 ans et plus (%),32.2
