Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Casablanca-Settat,Ensemble,Masculin,Indicateur conjoncturel de fécondité,
Casablanca-Settat,Rural,Masculin,Indicateur conjoncturel de fécondité,
Casablanca-Settat,Urbain,Masculin,Descendance finale des femmes,
Casablanca-Settat,Ensemble,Masculin,Descendance finale des femmes,
Casablanca-Settat,Rural,Masculin,Descendance finale des femmes,
Casablanca-Settat,Urbain,Masculin,Indicateur conjoncturel de fécondité,
Casablanca-Settat,Rural,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),65.3
Casablanca-Settat,Rural,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),62.7
Casablanca-Settat,Urbain,Féminin,Part de la population de 15-59 ans (%),62.3
Casablanca-Settat,Urbain,Ensemble,Part de la population de 15-59 ans (%),61.7
Casablanca-Settat,Urbain,Masculin,Part de la population de 15-59 ans (%),61.2
Casablanca-Settat,Ensemble,Féminin,Part de la population de 15-59 ans (%),60.9
Casablanca-Settat,Ensemble,Ensemble,Part de la population de 15-59 ans (%),60.5
Casablanca-Settat,Ensemble,Masculin,Part de la population de 15-59 ans (%),60.2
Casablanca-Settat,Rural,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),60.1
Casablanca-Settat,Ensemble,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),58.0
Casablanca-Settat,Ensemble,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),57.9
Casablanca-Settat,Ensemble,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),57.9
Casablanca-Settat,Rural,Masculin,Part de la population de 15-59 ans (%),57.5
Casablanca-Settat,Rural,Ensemble,Part de la population de 15-59 ans (%),57.3
Casablanca-Settat,Urbain,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),57.1
Casablanca-Settat,Rural,Féminin,Part de la population de 15-59 ans (%),57.0
Casablanca-Settat,Urbain,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),56.4
Casablanca-Settat,Urbain,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),55.7
Casablanca-Settat,Urbain,Masculin,Part des célibataires parmi les 15 ans et plus (%),39.5
Casablanca-Settat,Ensemble,Masculin,Part des célibataires parmi les 15 ans et plus (%),39.0
Casablanca-Settat,Rural,Masculin,Part des célibataires parmi les 15 ans et plus (%),37.6
Casablanca-Settat,Urbain,Ensemble,Part des célibataires parmi les 15 ans et plus (%),34.3
Casablanca-Settat,Ensemble,Ensemble,Part des célibataires parmi les 15 ans et plus (%),33.2
Casablanca-Settat,Urbain,Masculin,Âge moyen singulier au mariage,32.5
Casablanca-Settat,Ensemble,Masculin,Âge moyen singulier au mariage,32.0
Casablanca-Settat,Rural,Masculin,Âge moyen singulier au mariage,31.0
Casablanca-Settat,Rural,Masculin,Part de la population de moins de 15 ans (%),30.4
Casablanca-Settat,Rural,Ensemble,Part de la population de moins de 15 ans (%),30.1
Casablanca-Settat,Rural,Ensemble,Part des célibataires parmi les 15 ans et plus (%),29.9
Casablanca-Settat,Rural,Féminin,Part de la population de moins de 15 ans (%),29.8
Casablanca-Settat,Urbain,Féminin,Part des célibataires parmi les 15 ans et plus (%),29.5
Casablanca-Settat,Urbain,Ensemble,Âge moyen singulier au mariage,28.8
Casablanca-Settat,Ensemble,Ensemble,Âge moyen singulier au mariage,28.2
Casablanca-Settat,Ensemble,Féminin,Part des célibataires parmi les 15 ans et plus (%),27.6
Casablanca-Settat,Rural,Ensemble,Âge moyen singulier au mariage,26.7
Casablanca-Settat,Ensemble,Masculin,Part de la population de moins de 15 ans (%),26.3
Casablanca-Settat,Ensemble,Ensemble,Part de la population de moins de 15 ans (%),25.4
Casablanca-Settat,Urbain,Féminin,Âge moyen singulier au mariage,25.3
Casablanca-Settat,Urbain,Masculin,Part de la population de moins de 15 ans (%),24.7
Casablanca-Settat,Ensemble,Féminin,Âge moyen singulier au mariage,24.4
Casablanca-Settat,Ensemble,Féminin,Part de la population de moins de 15 ans (%),24.4
Casablanca-Settat,Urbain,Ensemble,Part de la population de moins de 15 ans (%),23.6
Casablanca-Settat,Urbain,Féminin,Part de la population de moins de 15 ans (%),22.5
Casablanca-Settat,Rural,Féminin,Âge moyen singulier au mariage,22.2
Casablanca-Settat,Rural,Féminin,Part des célibataires parmi les 15 ans et plus (%),21.9
Casablanca-Settat,Urbain,Féminin,Part de la population de 60 ans et plus (%),15.2
Casablanca-Settat,Ensemble,Féminin,Part de la population de 60 ans et plus (%),14.7
Casablanca-Settat,Urbain,Ensemble,Part de la population de 60 ans et plus (%),14.6
Casablanca-Settat,Urbain,Masculin,Part de la population de 60 ans et plus (%),14.1
Casablanca-Settat,Ensemble,Ensemble,Part de la population de 60 ans et plus (%),14.1
Casablanca-Settat,Ensemble,Masculin,Part de la population de 60 ans et plus (%),13.5
Casablanca-Settat,Rural,Féminin,Part de la population de 60 ans et plus (%),13.2
Casablanca-Settat,Rural,Ensemble,Part de la population de 60 ans et plus (%),12.6
Casablanca-Settat,Rural,Masculin,Part de la population de 60 ans et plus (%),12.1
Casablanca-Settat,Rural,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),9.7
Casablanca-Settat,Ensemble,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),9.3
Casablanca-Settat,Urbain,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),9.2
Casablanca-Settat,Urbain,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),5.6
Casablanca-Settat,Urbain,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),5.2
Casablanca-Settat,Rural,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),5.2
Casablanca-Settat,Ensemble,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),5.2
Casablanca-Settat,Ensemble,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),5.0
Casablanca-Settat,Urbain,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),4.1
Casablanca-Settat,Ensemble,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),3.6
Casablanca-Settat,Rural,Ensemble,Descendance finale des femmes,3.3
Casablanca-Settat,Rural,Féminin,Descendance finale des femmes,3.3
Casablanca-Settat,Rural,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),3.0
Casablanca-Settat,Ensemble,Féminin,Descendance finale des femmes,2.5
Casablanca-Settat,Ensemble,Ensemble,Descendance finale des femmes,2.5
Casablanca-Settat,Urbain,Masculin,Part des divorcé.e.s parmi les 15 ans et plus (%),2.5
Casablanca-Settat,Rural,Féminin,Indicateur conjoncturel de fécondité,2.38
Casablanca-Settat,Rural,Ensemble,Indicateur conjoncturel de fécondité,2.38
Casablanca-Settat,Urbain,Féminin,Descendance finale des femmes,2.3
Casablanca-Settat,Urbain,Ensemble,Descendance finale des femmes,2.3
Casablanca-Settat,Ensemble,Masculin,Part des divorcé.e.s parmi les 15 ans et plus (%),2.2
Casablanca-Settat,Rural,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),2.2
Casablanca-Settat,Ensemble,Ensemble,Indicateur conjoncturel de fécondité,1.9
Casablanca-Settat,Ensemble,Féminin,Indicateur conjoncturel de fécondité,1.9
Casablanca-Settat,Urbain,Féminin,Indicateur conjoncturel de fécondité,1.74
Casablanca-Settat,Urbain,Ensemble,Indicateur conjoncturel de fécondité,1.74
Casablanca-Settat,Rural,Masculin,Part des divorcé.e.s parmi les 15 ans et plus (%),1.5
Casablanca-Settat,Urbain,Masculin,Part des veuf.ve.s parmi les 15 ans et plus (%),1.0
Casablanca-Settat,Ensemble,Masculin,Part des veuf.ve.s parmi les 15 ans et plus (%),0.9
Casablanca-Settat,Rural,Masculin,Part des veuf.ve.s parmi les 15 ans et plus (%),0.8
