Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Dakhla-Oued Ed-Dahab,Rural,Masculin,Descendance finale des femmes,
Dakhla-Oued Ed-Dahab,Urbain,Masculin,Indicateur conjoncturel de fécondité,
Dakhla-Oued Ed-Dahab,Urbain,Masculin,Descendance finale des femmes,
Dakhla-Oued Ed-Dahab,Ensemble,Masculin,Descendance finale des femmes,
Dakhla-Oued Ed-Dahab,Ensemble,Masculin,Indicateur conjoncturel de fécondité,
Dakhla-Oued Ed-Dahab,Rural,Masculin,Indicateur conjoncturel de fécondité,
Dakhla-Oued Ed-Dahab,Rural,Masculin,Part de la population de 15-59 ans (%),94.2
Dakhla-Oued Ed-Dahab,Rural,Ensemble,Part de la population de 15-59 ans (%),91.4
Dakhla-Oued Ed-Dahab,Ensemble,Masculin,Part de la population de 15-59 ans (%),72.2
Dakhla-Oued Ed-Dahab,Ensemble,Ensemble,Part de la population de 15-59 ans (%),68.9
Dakhla-Oued Ed-Dahab,Urbain,Masculin,Part de la population de 15-59 ans (%),68.1
Dakhla-Oued Ed-Dahab,Urbain,Ensemble,Part de la population de 15-59 ans (%),66.4
Dakhla-Oued Ed-Dahab,Ensemble,Féminin,Part de la population de 15-59 ans (%),64.3
Dakhla-Oued Ed-Dahab,Urbain,Féminin,Part de la population de 15-59 ans (%),64.3
Dakhla-Oued Ed-Dahab,Rural,Féminin,Part de la population de 15-59 ans (%),64.2
Dakhla-Oued Ed-Dahab,Urbain,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),61.3
Dakhla-Oued Ed-Dahab,Ensemble,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),61.2
Dakhla-Oued Ed-Dahab,Urbain,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),58.4
Dakhla-Oued Ed-Dahab,Rural,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),57.6
Dakhla-Oued Ed-Dahab,Ensemble,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),56.9
Dakhla-Oued Ed-Dahab,Urbain,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),56.1
Dakhla-Oued Ed-Dahab,Ensemble,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),54.2
Dakhla-Oued Ed-Dahab,Rural,Masculin,Part des célibataires parmi les 15 ans et plus (%),50.7
Dakhla-Oued Ed-Dahab,Rural,Ensemble,Part des célibataires parmi les 15 ans et plus (%),49.2
Dakhla-Oued Ed-Dahab,Rural,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),47.5
Dakhla-Oued Ed-Dahab,Rural,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),46.7
Dakhla-Oued Ed-Dahab,Ensemble,Masculin,Part des célibataires parmi les 15 ans et plus (%),43.2
