Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Drâa-Tafilalet,Ensemble,Masculin,Indicateur conjoncturel de fécondité,
Drâa-Tafilalet,Rural,Masculin,Descendance finale des femmes,
Drâa-Tafilalet,Rural,Masculin,Indicateur conjoncturel de fécondité,
Drâa-Tafilalet,Urbain,Masculin,Indicateur conjoncturel de fécondité,
Drâa-Tafilalet,Urbain,Masculin,Descendance finale des femmes,
Drâa-Tafilalet,Ensemble,Masculin,Descendance finale des femmes,
Drâa-Tafilalet,Urbain,Féminin,Part de la population de 15-59 ans (%),61.0
Drâa-Tafilalet,Urbain,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),59.5
Drâa-Tafilalet,Urbain,Ensemble,Part de la population de 15-59 ans (%),59.1
Drâa-Tafilalet,Rural,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),59.0
Drâa-Tafilalet,Ensemble,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),58.9
Drâa-Tafilalet,Rural,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),58.8
Drâa-Tafilalet,Ensemble,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),58.7
Drâa-Tafilalet,Urbain,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),58.6
Drâa-Tafilalet,Rural,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),58.5
Drâa-Tafilalet,Ensemble,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),58.5
Drâa-Tafilalet,Ensemble,Féminin,Part de la population de 15-59 ans (%),58.0
Drâa-Tafilalet,Urbain,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),57.8
Drâa-Tafilalet,Urbain,Masculin,Part de la population de 15-59 ans (%),57.2
Drâa-Tafilalet,Ensemble,Ensemble,Part de la population de 15-59 ans (%),56.7
Drâa-Tafilalet,Rural,Féminin,Part de la population de 15-59 ans (%),56.2
Drâa-Tafilalet,Ensemble,Masculin,Part de la population de 15-59 ans (%),55.5
Drâa-Tafilalet,Rural,Ensemble,Part de la population de 15-59 ans (%),55.4
Drâa-Tafilalet,Rural,Masculin,Part de la population de 15-59 ans (%),54.5
Drâa-Tafilalet,Rural,Masculin,Part des célibataires parmi les 15 ans et plus (%),39.5
Drâa-Tafilalet,Ensemble,Masculin,Part des célibataires parmi les 15 ans et plus (%),39.1
Drâa-Tafilalet,Urbain,Masculin,Part des célibataires parmi les 15 ans et plus (%),38.3
Drâa-Tafilalet,Rural,Ensemble,Part des célibataires parmi les 15 ans et plus (%),32.9
Drâa-Tafilalet,Ensemble,Ensemble,Part des célibataires parmi les 15 ans et plus (%),32.9
Drâa-Tafilalet,Urbain,Ensemble,Part des célibataires parmi les 15 ans et plus (%),32.9
Drâa-Tafilalet,Rural,Masculin,Part de la population de moins de 15 ans (%),32.9
Drâa-Tafilalet,Urbain,Masculin,Âge moyen singulier au mariage,32.6
Drâa-Tafilalet,Ensemble,Masculin,Âge moyen singulier au mariage,32.2
Drâa-Tafilalet,Rural,Masculin,Âge moyen singulier au mariage,31.9
Drâa-Tafilalet,Ensemble,Masculin,Part de la population de moins de 15 ans (%),31.9
Drâa-Tafilalet,Rural,Ensemble,Part de la population de moins de 15 ans (%),31.4
Drâa-Tafilalet,Ensemble,Ensemble,Part de la population de moins de 15 ans (%),30.4
Drâa-Tafilalet,Urbain,Masculin,Part de la population de moins de 15 ans (%),30.3
Drâa-Tafilalet,Rural,Féminin,Part de la population de moins de 15 ans (%),30.0
Drâa-Tafilalet,Ensemble,Féminin,Part de la population de moins de 15 ans (%),28.9
Drâa-Tafilalet,Urbain,Ensemble,Âge moyen singulier au mariage,28.8
Drâa-Tafilalet,Urbain,Ensemble,Part de la population de moins de 15 ans (%),28.7
Drâa-Tafilalet,Ensemble,Ensemble,Âge moyen singulier au mariage,28.6
Drâa-Tafilalet,Rural,Ensemble,Âge moyen singulier au mariage,28.5
Drâa-Tafilalet,Urbain,Féminin,Part des célibataires parmi les 15 ans et plus (%),28.0
Drâa-Tafilalet,Ensemble,Féminin,Part des célibataires parmi les 15 ans et plus (%),27.2
Drâa-Tafilalet,Urbain,Féminin,Part de la population de moins de 15 ans (%),27.2
Drâa-Tafilalet,Rural,Féminin,Part des célibataires parmi les 15 ans et plus (%),26.6
Drâa-Tafilalet,Urbain,Féminin,Âge moyen singulier au mariage,25.4
Drâa-Tafilalet,Ensemble,Féminin,Âge moyen singulier au mariage,25.1
Drâa-Tafilalet,Rural,Féminin,Âge moyen singulier au mariage,25.0
Drâa-Tafilalet,Rural,Féminin,Part de la population de 60 ans et plus (%),13.8
Drâa-Tafilalet,Rural,Ensemble,Part de la population de 60 ans et plus (%),13.2
Drâa-Tafilalet,Ensemble,Féminin,Part de la population de 60 ans et plus (%),13.1
Drâa-Tafilalet,Ensemble,Ensemble,Part de la population de 60 ans et plus (%),12.8
Drâa-Tafilalet,Ensemble,Masculin,Part de la population de 60 ans et plus (%),12.6
Drâa-Tafilalet,Rural,Masculin,Part de la population de 60 ans et plus (%),12.6
Drâa-Tafilalet,Urbain,Masculin,Part de la population de 60 ans et plus (%),12.5
Drâa-Tafilalet,Urbain,Ensemble,Part de la population de 60 ans et plus (%),12.2
Drâa-Tafilalet,Urbain,Féminin,Part de la population de 60 ans et plus (%),11.8
Drâa-Tafilalet,Rural,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),10.0
Drâa-Tafilalet,Ensemble,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),9.5
Drâa-Tafilalet,Urbain,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),8.6
Drâa-Tafilalet,Rural,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),5.6
Drâa-Tafilalet,Urbain,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),5.6
Drâa-Tafilalet,Ensemble,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),5.3
Drâa-Tafilalet,Ensemble,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),4.8
Drâa-Tafilalet,Urbain,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),4.8
Drâa-Tafilalet,Rural,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),4.4
Drâa-Tafilalet,Rural,Féminin,Descendance finale des femmes,3.8
Drâa-Tafilalet,Rural,Ensemble,Descendance finale des femmes,3.8
Drâa-Tafilalet,Urbain,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),3.7
Drâa-Tafilalet,Ensemble,Ensemble,Descendance finale des femmes,3.5
Drâa-Tafilalet,Ensemble,Féminin,Descendance finale des femmes,3.5
