Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Fès-Meknès,Urbain,Masculin,Descendance finale des femmes,
Fès-Meknès,Urbain,Masculin,Indicateur conjoncturel de fécondité,
Fès-Meknès,Ensemble,Masculin,Descendance finale des femmes,
Fès-Meknès,Rural,Masculin,Descendance finale des femmes,
Fès-Meknès,Rural,Masculin,Indicateur conjoncturel de fécondité,
Fès-Meknès,Ensemble,Masculin,Indicateur conjoncturel de fécondité,
Fès-Meknès,Rural,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),63.7
Fès-Meknès,Rural,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),61.9
Fès-Meknès,Urbain,Féminin,Part de la population de 15-59 ans (%),61.5
Fès-Meknès,Rural,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),60.1
Fès-Meknès,Urbain,Ensemble,Part de la population de 15-59 ans (%),60.1
Fès-Meknès,Ensemble,Féminin,Part de la population de 15-59 ans (%),59.9
Fès-Meknès,Ensemble,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),59.2
Fès-Meknès,Ensemble,Ensemble,Part de la population de 15-59 ans (%),59.0
Fès-Meknès,Ensemble,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),58.9
Fès-Meknès,Urbain,Masculin,Part de la population de 15-59 ans (%),58.7
Fès-Meknès,Ensemble,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),58.6
Fès-Meknès,Ensemble,Masculin,Part de la population de 15-59 ans (%),58.0
Fès-Meknès,Urbain,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),57.8
Fès-Meknès,Urbain,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),57.3
Fès-Meknès,Rural,Masculin,Part de la population de 15-59 ans (%),57.0
Fès-Meknès,Rural,Ensemble,Part de la population de 15-59 ans (%),56.9
Fès-Meknès,Urbain,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),56.9
Fès-Meknès,Rural,Féminin,Part de la population de 15-59 ans (%),56.8
Fès-Meknès,Urbain,Masculin,Part des célibataires parmi les 15 ans et plus (%),39.0
Fès-Meknès,Ensemble,Masculin,Part des célibataires parmi les 15 ans et plus (%),38.5
Fès-Meknès,Rural,Masculin,Part des célibataires parmi les 15 ans et plus (%),37.5
Fès-Meknès,Urbain,Ensemble,Part des célibataires parmi les 15 ans et plus (%),33.4
Fès-Meknès,Urbain,Masculin,Âge moyen singulier au mariage,32.9
Fès-Meknès,Ensemble,Masculin,Âge moyen singulier au mariage,32.6
Fès-Meknès,Ensemble,Ensemble,Part des célibataires parmi les 15 ans et plus (%),32.5
Fès-Meknès,Rural,Masculin,Âge moyen singulier au mariage,32.2
Fès-Meknès,Rural,Ensemble,Part des célibataires parmi les 15 ans et plus (%),30.9
Fès-Meknès,Rural,Masculin,Part de la population de moins de 15 ans (%),29.5
Fès-Meknès,Urbain,Ensemble,Âge moyen singulier au mariage,29.0
Fès-Meknès,Rural,Ensemble,Part de la population de moins de 15 ans (%),29.0
Fès-Meknès,Ensemble,Ensemble,Âge moyen singulier au mariage,28.5
Fès-Meknès,Rural,Féminin,Part de la population de moins de 15 ans (%),28.4
Fès-Meknès,Urbain,Féminin,Part des célibataires parmi les 15 ans et plus (%),28.1
Fès-Meknès,Ensemble,Masculin,Part de la population de moins de 15 ans (%),27.7
Fès-Meknès,Rural,Ensemble,Âge moyen singulier au mariage,27.5
Fès-Meknès,Ensemble,Féminin,Part des célibataires parmi les 15 ans et plus (%),26.8
Fès-Meknès,Urbain,Masculin,Part de la population de moins de 15 ans (%),26.6
Fès-Meknès,Ensemble,Ensemble,Part de la population de moins de 15 ans (%),26.5
Fès-Meknès,Ensemble,Féminin,Part de la population de moins de 15 ans (%),25.4
Fès-Meknès,Urbain,Féminin,Âge moyen singulier au mariage,25.3
Fès-Meknès,Urbain,Ensemble,Part de la population de moins de 15 ans (%),25.2
Fès-Meknès,Ensemble,Féminin,Âge moyen singulier au mariage,24.3
Fès-Meknès,Rural,Féminin,Part des célibataires parmi les 15 ans et plus (%),24.2
Fès-Meknès,Urbain,Féminin,Part de la population de moins de 15 ans (%),23.9
Fès-Meknès,Rural,Féminin,Âge moyen singulier au mariage,22.3
Fès-Meknès,Rural,Féminin,Part de la population de 60 ans et plus (%),14.8
Fès-Meknès,Urbain,Masculin,Part de la population de 60 ans et plus (%),14.8
Fès-Meknès,Urbain,Ensemble,Part de la population de 60 ans et plus (%),14.7
Fès-Meknès,Ensemble,Féminin,Part de la population de 60 ans et plus (%),14.7
Fès-Meknès,Urbain,Féminin,Part de la population de 60 ans et plus (%),14.6
Fès-Meknès,Ensemble,Ensemble,Part de la population de 60 ans et plus (%),14.5
Fès-Meknès,Ensemble,Masculin,Part de la population de 60 ans et plus (%),14.3
Fès-Meknès,Rural,Ensemble,Part de la population de 60 ans et plus (%),14.2
Fès-Meknès,Rural,Masculin,Part de la population de 60 ans et plus (%),13.5
Fès-Meknès,Ensemble,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),9.4
Fès-Meknès,Urbain,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),9.4
