Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Guelmim-Oued Noun,Ensemble,Masculin,Descendance finale des femmes,
Guelmim-Oued Noun,Rural,Masculin,Descendance finale des femmes,
Guelmim-Oued Noun,Ensemble,Masculin,Indicateur conjoncturel de fécondité,
Guelmim-Oued Noun,Urbain,Masculin,Indicateur conjoncturel de fécondité,
Guelmim-Oued Noun,Rural,Masculin,Indicateur conjoncturel de fécondité,
Guelmim-Oued Noun,Urbain,Masculin,Descendance finale des femmes,
Guelmim-Oued Noun,Urbain,Féminin,Part de la population de 15-59 ans (%),62.4
Guelmim-Oued Noun,Urbain,Ensemble,Part de la population de 15-59 ans (%),60.8
Guelmim-Oued Noun,Ensemble,Féminin,Part de la population de 15-59 ans (%),60.6
Guelmim-Oued Noun,Urbain,Masculin,Part de la population de 15-59 ans (%),59.3
Guelmim-Oued Noun,Ensemble,Ensemble,Part de la population de 15-59 ans (%),59.3
Guelmim-Oued Noun,Rural,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),58.5
Guelmim-Oued Noun,Rural,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),58.4
Guelmim-Oued Noun,Rural,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),58.3
Guelmim-Oued Noun,Ensemble,Masculin,Part de la population de 15-59 ans (%),57.9
Guelmim-Oued Noun,Ensemble,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),57.1
Guelmim-Oued Noun,Ensemble,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),56.8
Guelmim-Oued Noun,Ensemble,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),56.4
Guelmim-Oued Noun,Urbain,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),56.4
Guelmim-Oued Noun,Rural,Féminin,Part de la population de 15-59 ans (%),56.4
Guelmim-Oued Noun,Urbain,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),56.1
Guelmim-Oued Noun,Urbain,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),55.7
Guelmim-Oued Noun,Rural,Ensemble,Part de la population de 15-59 ans (%),55.5
Guelmim-Oued Noun,Rural,Masculin,Part de la population de 15-59 ans (%),54.5
Guelmim-Oued Noun,Urbain,Masculin,Part des célibataires parmi les 15 ans et plus (%),42.0
Guelmim-Oued Noun,Ensemble,Masculin,Part des célibataires parmi les 15 ans et plus (%),41.1
Guelmim-Oued Noun,Rural,Masculin,Part des célibataires parmi les 15 ans et plus (%),39.1
Guelmim-Oued Noun,Urbain,Ensemble,Part des célibataires parmi les 15 ans et plus (%),35.5
Guelmim-Oued Noun,Rural,Masculin,Âge moyen singulier au mariage,35.1
Guelmim-Oued Noun,Ensemble,Ensemble,Part des célibataires parmi les 15 ans et plus (%),34.4
Guelmim-Oued Noun,Ensemble,Masculin,Âge moyen singulier au mariage,34.2
Guelmim-Oued Noun,Urbain,Masculin,Âge moyen singulier au mariage,34.0
Guelmim-Oued Noun,Rural,Ensemble,Part des célibataires parmi les 15 ans et plus (%),31.9
Guelmim-Oued Noun,Rural,Ensemble,Âge moyen singulier au mariage,31.2
Guelmim-Oued Noun,Ensemble,Ensemble,Âge moyen singulier au mariage,30.6
Guelmim-Oued Noun,Urbain,Ensemble,Âge moyen singulier au mariage,30.4
Guelmim-Oued Noun,Urbain,Féminin,Part des célibataires parmi les 15 ans et plus (%),29.4
Guelmim-Oued Noun,Urbain,Masculin,Part de la population de moins de 15 ans (%),28.5
Guelmim-Oued Noun,Ensemble,Féminin,Part des célibataires parmi les 15 ans et plus (%),28.1
Guelmim-Oued Noun,Ensemble,Masculin,Part de la population de moins de 15 ans (%),28.0
Guelmim-Oued Noun,Rural,Féminin,Âge moyen singulier au mariage,27.6
Guelmim-Oued Noun,Ensemble,Féminin,Âge moyen singulier au mariage,27.3
Guelmim-Oued Noun,Urbain,Ensemble,Part de la population de moins de 15 ans (%),27.3
Guelmim-Oued Noun,Urbain,Féminin,Âge moyen singulier au mariage,27.2
Guelmim-Oued Noun,Rural,Masculin,Part de la population de moins de 15 ans (%),26.8
Guelmim-Oued Noun,Ensemble,Ensemble,Part de la population de moins de 15 ans (%),26.7
Guelmim-Oued Noun,Urbain,Féminin,Part de la population de moins de 15 ans (%),26.1
Guelmim-Oued Noun,Ensemble,Féminin,Part de la population de moins de 15 ans (%),25.3
Guelmim-Oued Noun,Rural,Féminin,Part des célibataires parmi les 15 ans et plus (%),25.3
Guelmim-Oued Noun,Rural,Ensemble,Part de la population de moins de 15 ans (%),25.2
Guelmim-Oued Noun,Rural,Féminin,Part de la population de moins de 15 ans (%),23.7
Guelmim-Oued Noun,Rural,Féminin,Part de la population de 60 ans et plus (%),19.9
Guelmim-Oued Noun,Rural,Ensemble,Part de la population de 60 ans et plus (%),19.3
Guelmim-Oued Noun,Rural,Masculin,Part de la population de 60 ans et plus (%),18.7
Guelmim-Oued Noun,Ensemble,Ensemble,Part de la population de 60 ans et plus (%),14.1
Guelmim-Oued Noun,Ensemble,Masculin,Part de la population de 60 ans et plus (%),14.1
Guelmim-Oued Noun,Ensemble,Féminin,Part de la population de 60 ans et plus (%),14.0
Guelmim-Oued Noun,Rural,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),12.5
Guelmim-Oued Noun,Urbain,Masculin,Part de la population de 60 ans et plus (%),12.2
Guelmim-Oued Noun,Urbain,Ensemble,Part de la population de 60 ans et plus (%),11.9
Guelmim-Oued Noun,Urbain,Féminin,Part de la population de 60 ans et plus (%),11.6
Guelmim-Oued Noun,Ensemble,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),10.0
Guelmim-Oued Noun,Urbain,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),8.9
Guelmim-Oued Noun,Rural,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),7.1
Guelmim-Oued Noun,Ensemble,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),5.5
Guelmim-Oued Noun,Urbain,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),5.3
Guelmim-Oued Noun,Urbain,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),4.9
Guelmim-Oued Noun,Ensemble,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),4.8
Guelmim-Oued Noun,Rural,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),3.7
Guelmim-Oued Noun,Urbain,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),3.6
Guelmim-Oued Noun,Ensemble,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),3.3
Guelmim-Oued Noun,Rural,Féminin,Descendance finale des femmes,3.0
Guelmim-Oued Noun,Rural,Ensemble,Descendance finale des femmes,3.0
Guelmim-Oued Noun,Urbain,Féminin,Descendance finale des femmes,2.8
Guelmim-Oued Noun,Ensemble,Féminin,Descendance finale des femmes,2.8
Guelmim-Oued Noun,Ensemble,Ensemble,Descendance finale des femmes,2.8
Guelmim-Oued Noun,Urbain,Ensemble,Descendance finale des femmes,2.8
Guelmim-Oued Noun,Rural,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),2.7
Guelmim-Oued Noun,Urbain,Féminin,Indicateur conjoncturel de fécondité,1.9
Guelmim-Oued Noun,Urbain,Ensemble,Indicateur conjoncturel de fécondité,1.9
Guelmim-Oued Noun,Ensemble,Féminin,Indicateur conjoncturel de fécondité,1.89
Guelmim-Oued Noun,Ensemble,Ensemble,Indicateur conjoncturel de fécondité,1.89
Guelmim-Oued Noun,Rural,Féminin,Indicateur conjoncturel de fécondité,1.85
Guelmim-Oued Noun,Rural,Ensemble,Indicateur conjoncturel de fécondité,1.85
Guelmim-Oued Noun,Urbain,Masculin,Part des divorcé.e.s parmi les 15 ans et plus (%),1.8
Guelmim-Oued Noun,Ensemble,Masculin,Part des divorcé.e.s parmi les 15 ans et plus (%),1.7
Guelmim-Oued Noun,Rural,Masculin,Part des divorcé.e.s parmi les 15 ans et plus (%),1.5
Guelmim-Oued Noun,Rural,Masculin,Part des veuf.ve.s parmi les 15 ans et plus (%),1.1
Guelmim-Oued Noun,Ensemble,Masculin,Part des veuf.ve.s parmi les 15 ans et plus (%),0.7
Guelmim-Oued Noun,Urbain,Masculin,Part des veuf.ve.s parmi les 15 ans et plus (%),0.6
