Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Laâyoune-Sakia El Hamra,Ensemble,Masculin,Descendance finale des femmes,
Laâyoune-Sakia El Hamra,Rural,Masculin,Descendance finale des femmes,
Laâyoune-Sakia El Hamra,Urbain,Masculin,Indicateur conjoncturel de fécondité,
Laâyoune-Sakia El Hamra,Rural,Masculin,Indicateur conjoncturel de fécondité,
Laâyoune-Sakia El Hamra,Urbain,Masculin,Descendance finale des femmes,
Laâyoune-Sakia El Hamra,Ensemble,Masculin,Indicateur conjoncturel de fécondité,
Laâyoune-Sakia El Hamra,Rural,Masculin,Part de la population de 15-59 ans (%),65.8
Laâyoune-Sakia El Hamra,Urbain,Féminin,Part de la population de 15-59 ans (%),63.4
Laâyoune-Sakia El Hamra,Rural,Ensemble,Part de la population de 15-59 ans (%),63.3
Laâyoune-Sakia El Hamra,Ensemble,Féminin,Part de la population de 15-59 ans (%),63.3
Laâyoune-Sakia El Hamra,Urbain,Ensemble,Part de la population de 15-59 ans (%),62.7
Laâyoune-Sakia El Hamra,Ensemble,Ensemble,Part de la population de 15-59 ans (%),62.7
Laâyoune-Sakia El Hamra,Ensemble,Masculin,Part de la population de 15-59 ans (%),62.0
Laâyoune-Sakia El Hamra,Urbain,Masculin,Part de la population de 15-59 ans (%),61.9
Laâyoune-Sakia El Hamra,Rural,Féminin,Part de la population de 15-59 ans (%),59.8
Laâyoune-Sakia El Hamra,Rural,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),58.4
Laâyoune-Sakia El Hamra,Urbain,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),58.2
Laâyoune-Sakia El Hamra,Ensemble,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),58.2
Laâyoune-Sakia El Hamra,Urbain,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),57.1
Laâyoune-Sakia El Hamra,Ensemble,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),57.1
Laâyoune-Sakia El Hamra,Rural,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),57.0
Laâyoune-Sakia El Hamra,Rural,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),56.1
Laâyoune-Sakia El Hamra,Ensemble,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),56.0
Laâyoune-Sakia El Hamra,Urbain,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),56.0
Laâyoune-Sakia El Hamra,Urbain,Masculin,Part des célibataires parmi les 15 ans et plus (%),41.3
Laâyoune-Sakia El Hamra,Ensemble,Masculin,Part des célibataires parmi les 15 ans et plus (%),41.3
Laâyoune-Sakia El Hamra,Rural,Masculin,Part des célibataires parmi les 15 ans et plus (%),39.6
Laâyoune-Sakia El Hamra,Ensemble,Ensemble,Part des célibataires parmi les 15 ans et plus (%),35.1
Laâyoune-Sakia El Hamra,Urbain,Ensemble,Part des célibataires parmi les 15 ans et plus (%),35.1
Laâyoune-Sakia El Hamra,Rural,Ensemble,Part des célibataires parmi les 15 ans et plus (%),34.1
Laâyoune-Sakia El Hamra,Rural,Masculin,Âge moyen singulier au mariage,33.9
Laâyoune-Sakia El Hamra,Urbain,Masculin,Âge moyen singulier au mariage,32.6
Laâyoune-Sakia El Hamra,Ensemble,Masculin,Âge moyen singulier au mariage,32.6
Laâyoune-Sakia El Hamra,Rural,Ensemble,Âge moyen singulier au mariage,30.9
Laâyoune-Sakia El Hamra,Urbain,Masculin,Part de la population de moins de 15 ans (%),29.3
Laâyoune-Sakia El Hamra,Urbain,Ensemble,Âge moyen singulier au mariage,29.2
Laâyoune-Sakia El Hamra,Ensemble,Ensemble,Âge moyen singulier au mariage,29.2
Laâyoune-Sakia El Hamra,Ensemble,Masculin,Part de la population de moins de 15 ans (%),29.0
Laâyoune-Sakia El Hamra,Urbain,Ensemble,Part de la population de moins de 15 ans (%),28.9
Laâyoune-Sakia El Hamra,Urbain,Féminin,Part des célibataires parmi les 15 ans et plus (%),28.7
Laâyoune-Sakia El Hamra,Ensemble,Ensemble,Part de la population de moins de 15 ans (%),28.7
Laâyoune-Sakia El Hamra,Ensemble,Féminin,Part des célibataires parmi les 15 ans et plus (%),28.6
Laâyoune-Sakia El Hamra,Urbain,Féminin,Part de la population de moins de 15 ans (%),28.5
Laâyoune-Sakia El Hamra,Ensemble,Féminin,Part de la population de moins de 15 ans (%),28.4
