Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Marrakech-Safi,Ensemble,Masculin,Descendance finale des femmes,
Marrakech-Safi,Rural,Masculin,Indicateur conjoncturel de fécondité,
Marrakech-Safi,Urbain,Masculin,Indicateur conjoncturel de fécondité,
Marrakech-Safi,Urbain,Masculin,Descendance finale des femmes,
Marrakech-Safi,Rural,Masculin,Descendance finale des femmes,
Marrakech-Safi,Ensemble,Masculin,Indicateur conjoncturel de fécondité,
Marrakech-Safi,Rural,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),66.1
Marrakech-Safi,Rural,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),63.0
Marrakech-Safi,Urbain,Féminin,Part de la population de 15-59 ans (%),61.9
Marrakech-Safi,Ensemble,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),60.8
Marrakech-Safi,Urbain,Ensemble,Part de la population de 15-59 ans (%),60.8
Marrakech-Safi,Rural,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),60.0
Marrakech-Safi,Urbain,Masculin,Part de la population de 15-59 ans (%),59.7
Marrakech-Safi,Ensemble,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),59.7
Marrakech-Safi,Ensemble,Féminin,Part de la population de 15-59 ans (%),58.9
Marrakech-Safi,Ensemble,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),58.6
Marrakech-Safi,Ensemble,Ensemble,Part de la population de 15-59 ans (%),58.5
Marrakech-Safi,Ensemble,Masculin,Part de la population de 15-59 ans (%),58.0
Marrakech-Safi,Urbain,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),56.8
Marrakech-Safi,Rural,Masculin,Part de la population de 15-59 ans (%),56.6
Marrakech-Safi,Rural,Ensemble,Part de la population de 15-59 ans (%),56.4
Marrakech-Safi,Rural,Féminin,Part de la population de 15-59 ans (%),56.2
Marrakech-Safi,Urbain,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),56.1
Marrakech-Safi,Urbain,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),55.4
Marrakech-Safi,Urbain,Masculin,Part des célibataires parmi les 15 ans et plus (%),40.0
Marrakech-Safi,Ensemble,Masculin,Part des célibataires parmi les 15 ans et plus (%),38.8
Marrakech-Safi,Rural,Masculin,Part des célibataires parmi les 15 ans et plus (%),37.8
Marrakech-Safi,Urbain,Ensemble,Part des célibataires parmi les 15 ans et plus (%),34.5
Marrakech-Safi,Urbain,Masculin,Âge moyen singulier au mariage,32.5
Marrakech-Safi,Ensemble,Ensemble,Part des célibataires parmi les 15 ans et plus (%),32.0
Marrakech-Safi,Ensemble,Masculin,Âge moyen singulier au mariage,31.8
Marrakech-Safi,Rural,Masculin,Âge moyen singulier au mariage,31.3
Marrakech-Safi,Rural,Masculin,Part de la population de moins de 15 ans (%),30.5
Marrakech-Safi,Rural,Ensemble,Part de la population de moins de 15 ans (%),30.4
Marrakech-Safi,Rural,Féminin,Part de la population de moins de 15 ans (%),30.3
Marrakech-Safi,Rural,Ensemble,Part des célibataires parmi les 15 ans et plus (%),29.8
Marrakech-Safi,Urbain,Féminin,Part des célibataires parmi les 15 ans et plus (%),29.4
Marrakech-Safi,Urbain,Ensemble,Âge moyen singulier au mariage,28.7
Marrakech-Safi,Ensemble,Masculin,Part de la population de moins de 15 ans (%),28.6
Marrakech-Safi,Ensemble,Ensemble,Part de la population de moins de 15 ans (%),28.0
Marrakech-Safi,Ensemble,Ensemble,Âge moyen singulier au mariage,27.7
Marrakech-Safi,Ensemble,Féminin,Part de la population de moins de 15 ans (%),27.3
Marrakech-Safi,Rural,Ensemble,Âge moyen singulier au mariage,26.9
Marrakech-Safi,Urbain,Masculin,Part de la population de moins de 15 ans (%),26.3
Marrakech-Safi,Ensemble,Féminin,Part des célibataires parmi les 15 ans et plus (%),25.3
Marrakech-Safi,Urbain,Ensemble,Part de la population de moins de 15 ans (%),25.1
Marrakech-Safi,Urbain,Féminin,Âge moyen singulier au mariage,25.0
Marrakech-Safi,Urbain,Féminin,Part de la population de moins de 15 ans (%),23.9
Marrakech-Safi,Ensemble,Féminin,Âge moyen singulier au mariage,23.5
Marrakech-Safi,Rural,Féminin,Âge moyen singulier au mariage,22.1
Marrakech-Safi,Rural,Féminin,Part des célibataires parmi les 15 ans et plus (%),21.3
