Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Oriental,Ensemble,Masculin,Indicateur conjoncturel de fécondité,
Oriental,Rural,Masculin,Indicateur conjoncturel de fécondité,
Oriental,Ensemble,Masculin,Descendance finale des femmes,
Oriental,Urbain,Masculin,Descendance finale des femmes,
Oriental,Rural,Masculin,Descendance finale des femmes,
Oriental,Urbain,Masculin,Indicateur conjoncturel de fécondité,
Oriental,Urbain,Féminin,Part de la population de 15-59 ans (%),60.2
Oriental,Rural,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),59.5
Oriental,Ensemble,Féminin,Part de la population de 15-59 ans (%),59.5
Oriental,Urbain,Ensemble,Part de la population de 15-59 ans (%),59.3
Oriental,Ensemble,Ensemble,Part de la population de 15-59 ans (%),58.6
Oriental,Rural,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),58.5
Oriental,Urbain,Masculin,Part de la population de 15-59 ans (%),58.2
Oriental,Rural,Féminin,Part de la population de 15-59 ans (%),58.0
Oriental,Ensemble,Masculin,Part de la population de 15-59 ans (%),57.7
Oriental,Rural,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),57.5
Oriental,Rural,Ensemble,Part de la population de 15-59 ans (%),57.3
Oriental,Rural,Masculin,Part de la population de 15-59 ans (%),56.6
Oriental,Ensemble,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),56.3
Oriental,Ensemble,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),56.2
Oriental,Ensemble,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),56.1
Oriental,Urbain,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),55.6
Oriental,Urbain,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),55.0
Oriental,Urbain,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),54.5
Oriental,Urbain,Masculin,Part des célibataires parmi les 15 ans et plus (%),41.4
Oriental,Ensemble,Masculin,Part des célibataires parmi les 15 ans et plus (%),41.1
Oriental,Rural,Masculin,Part des célibataires parmi les 15 ans et plus (%),40.4
Oriental,Urbain,Ensemble,Part des célibataires parmi les 15 ans et plus (%),35.5
Oriental,Ensemble,Ensemble,Part des célibataires parmi les 15 ans et plus (%),35.0
Oriental,Urbain,Masculin,Âge moyen singulier au mariage,34.2
Oriental,Rural,Ensemble,Part des célibataires parmi les 15 ans et plus (%),34.2
Oriental,Ensemble,Masculin,Âge moyen singulier au mariage,33.8
Oriental,Rural,Masculin,Âge moyen singulier au mariage,33.1
Oriental,Urbain,Féminin,Part des célibataires parmi les 15 ans et plus (%),30.1
Oriental,Urbain,Ensemble,Âge moyen singulier au mariage,29.8
Oriental,Ensemble,Féminin,Part des célibataires parmi les 15 ans et plus (%),29.5
Oriental,Ensemble,Ensemble,Âge moyen singulier au mariage,29.4
Oriental,Rural,Masculin,Part de la population de moins de 15 ans (%),29.0
Oriental,Rural,Ensemble,Âge moyen singulier au mariage,28.5
Oriental,Rural,Féminin,Part des célibataires parmi les 15 ans et plus (%),28.2
Oriental,Rural,Ensemble,Part de la population de moins de 15 ans (%),27.7
Oriental,Ensemble,Masculin,Part de la population de moins de 15 ans (%),26.6
Oriental,Rural,Féminin,Part de la population de moins de 15 ans (%),26.5
Oriental,Urbain,Féminin,Âge moyen singulier au mariage,25.6
Oriental,Urbain,Masculin,Part de la population de moins de 15 ans (%),25.4
Oriental,Ensemble,Ensemble,Part de la population de moins de 15 ans (%),25.2
Oriental,Ensemble,Féminin,Âge moyen singulier au mariage,25.0
Oriental,Urbain,Ensemble,Part de la population de moins de 15 ans (%),23.9
Oriental,Ensemble,Féminin,Part de la population de moins de 15 ans (%),23.8
Oriental,Rural,Féminin,Âge moyen singulier au mariage,23.7
Oriental,Urbain,Féminin,Part de la population de moins de 15 ans (%),22.5
Oriental,Urbain,Féminin,Part de la population de 60 ans et plus (%),17.3
Oriental,Urbain,Ensemble,Part de la population de 60 ans et plus (%),16.9
Oriental,Ensemble,Féminin,Part de la population de 60 ans et plus (%),16.7
Oriental,Urbain,Masculin,Part de la population de 60 ans et plus (%),16.4
Oriental,Ensemble,Ensemble,Part de la population de 60 ans et plus (%),16.2
Oriental,Ensemble,Masculin,Part de la population de 60 ans et plus (%),15.7
Oriental,Rural,Féminin,Part de la population de 60 ans et plus (%),15.5
Oriental,Rural,Ensemble,Part de la population de 60 ans et plus (%),15.0
Oriental,Rural,Masculin,Part de la population de 60 ans et plus (%),14.4
Oriental,Urbain,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),10.5
Oriental,Ensemble,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),10.1
Oriental,Rural,Féminin,Part des veuf.ve.s parmi les 15 ans et plus (%),9.3
Oriental,Urbain,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),5.9
Oriental,Ensemble,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),5.6
Oriental,Rural,Ensemble,Part des veuf.ve.s parmi les 15 ans et plus (%),5.1
Oriental,Urbain,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),5.0
Oriental,Ensemble,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),4.3
Oriental,Urbain,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),3.6
Oriental,Ensemble,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),3.1
Oriental,Rural,Féminin,Part des divorcé.e.s parmi les 15 ans et plus (%),3.0
Oriental,Rural,Ensemble,Descendance finale des femmes,2.9
Oriental,Rural,Féminin,Descendance finale des femmes,2.9
Oriental,Ensemble,Ensemble,Descendance finale des femmes,2.6
Oriental,Ensemble,Féminin,Descendance finale des femmes,2.6
Oriental,Urbain,Féminin,Descendance finale des femmes,2.5
Oriental,Urbain,Ensemble,Descendance finale des femmes,2.5
Oriental,Rural,Ensemble,Part des divorcé.e.s parmi les 15 ans et plus (%),2.2
Oriental,Urbain,Masculin,Part des divorcé.e.s parmi les 15 ans et plus (%),2.1
Oriental,Rural,Féminin,Indicateur conjoncturel de fécondité,1.96
Oriental,Rural,Ensemble,Indicateur conjoncturel de fécondité,1.96
Oriental,Ensemble,Masculin,Part des divorcé.e.s parmi les 15 ans et plus (%),1.8
Oriental,Ensemble,Féminin,Indicateur conjoncturel de fécondité,1.73
Oriental,Ensemble,Ensemble,Indicateur conjoncturel de fécondité,1.73
Oriental,Urbain,Ensemble,Indicateur conjoncturel de fécondité,1.61
Oriental,Urbain,Féminin,Indicateur conjoncturel de fécondité,1.61
Oriental,Rural,Masculin,Part des divorcé.e.s parmi les 15 ans et plus (%),1.4
Oriental,Urbain,Masculin,Part des veuf.ve.s parmi les 15 ans et plus (%),0.9
Oriental,Ensemble,Masculin,Part des veuf.ve.s parmi les 15 ans et plus (%),0.8
Oriental,Rural,Masculin,Part des veuf.ve.s parmi les 15 ans et plus (%),0.7
