Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Souss-Massa,Rural,Masculin,Descendance finale des femmes,
Souss-Massa,Ensemble,Masculin,Descendance finale des femmes,
Souss-Massa,Ensemble,Masculin,Indicateur conjoncturel de fécondité,
Souss-Massa,Rural,Masculin,Indicateur conjoncturel de fécondité,
Souss-Massa,Urbain,Masculin,Indicateur conjoncturel de fécondité,
Souss-Massa,Urbain,Masculin,Descendance finale des femmes,
Souss-Massa,Urbain,Féminin,Part de la population de 15-59 ans (%),63.9
Souss-Massa,Urbain,Ensemble,Part de la population de 15-59 ans (%),62.7
Souss-Massa,Ensemble,Féminin,Part de la population de 15-59 ans (%),61.7
Souss-Massa,Rural,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),61.6
Souss-Massa,Urbain,Masculin,Part de la population de 15-59 ans (%),61.5
Souss-Massa,Rural,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),61.2
Souss-Massa,Rural,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),60.8
Souss-Massa,Ensemble,Ensemble,Part de la population de 15-59 ans (%),60.7
Souss-Massa,Ensemble,Masculin,Part de la population de 15-59 ans (%),59.7
Souss-Massa,Ensemble,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),59.0
Souss-Massa,Ensemble,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),58.9
Souss-Massa,Ensemble,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),58.8
Souss-Massa,Rural,Féminin,Part de la population de 15-59 ans (%),58.4
Souss-Massa,Rural,Ensemble,Part de la population de 15-59 ans (%),57.7
Souss-Massa,Urbain,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),57.7
Souss-Massa,Urbain,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),57.4
Souss-Massa,Rural,Masculin,Part de la population de 15-59 ans (%),57.0
Souss-Massa,Urbain,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),57.0
Souss-Massa,Urbain,Masculin,Part des célibataires parmi les 15 ans et plus (%),40.5
Souss-Massa,Ensemble,Masculin,Part des célibataires parmi les 15 ans et plus (%),38.8
Souss-Massa,Rural,Masculin,Part des célibataires parmi les 15 ans et plus (%),36.3
Souss-Massa,Urbain,Ensemble,Part des célibataires parmi les 15 ans et plus (%),34.7
Souss-Massa,Ensemble,Ensemble,Part des célibataires parmi les 15 ans et plus (%),33.1
Souss-Massa,Urbain,Masculin,Âge moyen singulier au mariage,32.8
Souss-Massa,Ensemble,Masculin,Âge moyen singulier au mariage,32.5
Souss-Massa,Rural,Masculin,Âge moyen singulier au mariage,32.0
Souss-Massa,Rural,Ensemble,Part des célibataires parmi les 15 ans et plus (%),30.6
Souss-Massa,Urbain,Ensemble,Âge moyen singulier au mariage,29.3
Souss-Massa,Ensemble,Ensemble,Âge moyen singulier au mariage,29.0
Souss-Massa,Urbain,Féminin,Part des célibataires parmi les 15 ans et plus (%),29.0
Souss-Massa,Rural,Ensemble,Âge moyen singulier au mariage,28.5
Souss-Massa,Rural,Masculin,Part de la population de moins de 15 ans (%),27.7
Souss-Massa,Ensemble,Féminin,Part des célibataires parmi les 15 ans et plus (%),27.6
Souss-Massa,Ensemble,Masculin,Part de la population de moins de 15 ans (%),27.0
