Zone,Milieu,Sexe,Titre de l'indicateur,Valeur de l'indicateur
Tanger-Tétouan-Al Hoceima,Rural,Masculin,Indicateur conjoncturel de fécondité,
Tanger-Tétouan-Al Hoceima,Ensemble,Masculin,Descendance finale des femmes,
Tanger-Tétouan-Al Hoceima,Rural,Masculin,Descendance finale des femmes,
Tanger-Tétouan-Al Hoceima,Ensemble,Masculin,Indicateur conjoncturel de fécondité,
Tanger-Tétouan-Al Hoceima,Urbain,Masculin,Descendance finale des femmes,
Tanger-Tétouan-Al Hoceima,Urbain,Masculin,Indicateur conjoncturel de fécondité,
Tanger-Tétouan-Al Hoceima,Urbain,Féminin,Part de la population de 15-59 ans (%),62.9
Tanger-Tétouan-Al Hoceima,Urbain,Ensemble,Part de la population de 15-59 ans (%),62.3
Tanger-Tétouan-Al Hoceima,Rural,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),62.1
Tanger-Tétouan-Al Hoceima,Urbain,Masculin,Part de la population de 15-59 ans (%),61.7
Tanger-Tétouan-Al Hoceima,Ensemble,Féminin,Part de la population de 15-59 ans (%),61.3
Tanger-Tétouan-Al Hoceima,Ensemble,Ensemble,Part de la population de 15-59 ans (%),61.1
Tanger-Tétouan-Al Hoceima,Ensemble,Masculin,Part de la population de 15-59 ans (%),60.9
Tanger-Tétouan-Al Hoceima,Rural,Masculin,Part de la population de 15-59 ans (%),59.3
Tanger-Tétouan-Al Hoceima,Rural,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),58.8
Tanger-Tétouan-Al Hoceima,Ensemble,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),58.8
Tanger-Tétouan-Al Hoceima,Rural,Ensemble,Part de la population de 15-59 ans (%),58.7
Tanger-Tétouan-Al Hoceima,Rural,Féminin,Part de la population de 15-59 ans (%),58.1
Tanger-Tétouan-Al Hoceima,Urbain,Féminin,Part des marié.e.s parmi les 15 ans et plus (%),57.2
Tanger-Tétouan-Al Hoceima,Ensemble,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),57.1
Tanger-Tétouan-Al Hoceima,Urbain,Ensemble,Part des marié.e.s parmi les 15 ans et plus (%),56.3
Tanger-Tétouan-Al Hoceima,Rural,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),55.7
Tanger-Tétouan-Al Hoceima,Ensemble,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),55.5
Tanger-Tétouan-Al Hoceima,Urbain,Masculin,Part des marié.e.s parmi les 15 ans et plus (%),55.4
Tanger-Tétouan-Al Hoceima,Rural,Masculin,Part des célibataires parmi les 15 ans et plus (%),42.2
Tanger-Tétouan-Al Hoceima,Ensemble,Masculin,Part des célibataires parmi les 15 ans et plus (%),41.9
Tanger-Tétouan-Al Hoceima,Urbain,Masculin,Part des célibataires parmi les 15 ans et plus (%),41.8
Tanger-Tétouan-Al Hoceima,Urbain,Ensemble,Part des célibataires parmi les 15 ans et plus (%),36.0
Tanger-Tétouan-Al Hoceima,Ensemble,Ensemble,Part des célibataires parmi les 15 ans et plus (%),35.7
Tanger-Tétouan-Al Hoceima,Rural,Ensemble,Part des célibataires parmi les 15 ans et plus (%),35.3
Tanger-Tétouan-Al Hoceima,Rural,Masculin,Âge moyen singulier au mariage,32.9
Tanger-Tétouan-Al Hoceima,Ensemble,Masculin,Âge moyen singulier au mariage,32.6
Tanger-Tétouan-Al Hoceima,Urbain,Masculin,Âge moyen singulier au mariage,32.4
Tanger-Tétouan-Al Hoceima,Urbain,Féminin,Part des célibataires parmi les 15 ans et plus (%),30.3
Tanger-Tétouan-Al Hoceima,Ensemble,Féminin,Part des célibataires parmi les 15 ans et plus (%),29.5
Tanger-Tétouan-Al Hoceima,Rural,Féminin,Part de la population de moins de 15 ans (%),29.3
Tanger-Tétouan-Al Hoceima,Rural,Ensemble,Part de la population de moins de 15 ans (%),29.3
Tanger-Tétouan-Al Hoceima,Rural,Masculin,Part de la population de moins de 15 ans (%),29.2
Tanger-Tétouan-Al Hoceima,Urbain,Ensemble,Âge moyen singulier au mariage,29.1
Tanger-Tétouan-Al Hoceima,Ensemble,Ensemble,Âge moyen singulier au mariage,29.0
Tanger-Tétouan-Al Hoceima,Rural,Ensemble,Âge moyen singulier au mariage,29.0
